Condition,Seed_ROI,Hemisphere,Region_ID,Region_Name,Anatomical_Lobe,Region_Hemisphere,Is_Dorsal,Is_Ventral,Pos_Voxels,Neg_Voxels,Direction_Value,Direction_Type,Total_Voxels
tool,pIPS,left,29,SomMot_15,Somatomotor,L,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,left,30,SomMot_16,Somatomotor,L,True,False,6,0,6,Intra-Dorsal,6
tool,pIPS,left,31,Post_1,Parietal,L,True,False,81,12,69,Intra-Dorsal,93
tool,pIPS,left,32,Post_2,Parietal,L,True,False,25,6,19,Intra-Dorsal,31
tool,pIPS,left,34,Post_4,Parietal,L,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,left,35,Post_5,Parietal,L,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,left,36,Post_6,Parietal,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,37,Post_7,Parietal,L,True,False,23,0,23,Intra-Dorsal,23
tool,pIPS,left,38,Post_8,Parietal,L,True,False,45,0,45,Intra-Dorsal,45
tool,pIPS,left,39,Post_9,Parietal,L,True,False,21,0,21,Intra-Dorsal,21
tool,pIPS,left,40,Post_10,Parietal,L,True,False,19,7,12,Intra-Dorsal,26
tool,pIPS,left,41,FEF_1,Parietal,L,True,False,4,0,4,Intra-Dorsal,4
tool,pIPS,left,42,FEF_2,Parietal,L,True,False,9,0,9,Intra-Dorsal,9
tool,pIPS,left,44,ParOper_1,Parietal,L,True,False,0,8,-8,Intra-Dorsal,8
tool,pIPS,left,45,ParOper_2,Parietal,L,True,False,0,2,-2,Intra-Dorsal,2
tool,pIPS,left,47,FrOperIns_1,Insular,L,False,False,6,0,6,Other,6
tool,pIPS,left,51,PFCl_1,Frontal,L,True,False,196,0,196,Intra-Dorsal,196
tool,pIPS,left,52,Med_1,Frontal,L,True,False,12,0,12,Intra-Dorsal,12
tool,pIPS,left,54,Med_3,Frontal,L,True,False,30,0,30,Intra-Dorsal,30
tool,pIPS,left,55,OFC_1,Frontal,L,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,left,56,OFC_2,Frontal,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,57,TempPole_1,Temporal,L,False,True,0,186,-186,Ventral→Dorsal,186
tool,pIPS,left,58,TempPole_2,Temporal,L,False,True,3,73,-70,Ventral→Dorsal,76
tool,pIPS,left,59,TempPole_3,Temporal,L,False,True,0,81,-81,Ventral→Dorsal,81
tool,pIPS,left,62,Par_2,Parietal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,63,Par_3,Parietal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,64,Temp_1,Temporal,L,False,True,1,11,-10,Ventral→Dorsal,12
tool,pIPS,left,65,OFC_1,Frontal,L,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,left,66,PFCl_1,Frontal,L,True,False,29,0,29,Intra-Dorsal,29
tool,pIPS,left,67,PFCl_2,Frontal,L,True,False,140,0,140,Intra-Dorsal,140
tool,pIPS,left,68,PFCl_3,Frontal,L,True,False,113,1,112,Intra-Dorsal,114
tool,pIPS,left,69,PFCl_4,Frontal,L,True,False,19,1,18,Intra-Dorsal,20
tool,pIPS,left,70,PFCl_5,Frontal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,71,pCun_1,Frontal,L,True,False,0,9,-9,Intra-Dorsal,9
tool,pIPS,left,74,Temp_1,Temporal,L,False,True,0,141,-141,Ventral→Dorsal,141
tool,pIPS,left,75,Temp_2,Temporal,L,False,True,6,0,6,Dorsal→Ventral,6
tool,pIPS,left,76,Temp_3,Temporal,L,False,True,0,4,-4,Ventral→Dorsal,4
tool,pIPS,left,77,Temp_4,Temporal,L,False,True,0,2,-2,Ventral→Dorsal,2
tool,pIPS,left,79,Par_1,Parietal,L,True,False,7,0,7,Intra-Dorsal,7
tool,pIPS,left,80,Par_2,Parietal,L,True,False,1,4,-3,Intra-Dorsal,5
tool,pIPS,left,83,PFC_1,Frontal,L,True,False,0,9,-9,Intra-Dorsal,9
tool,pIPS,left,85,PFC_3,Frontal,L,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,left,86,PFC_4,Frontal,L,True,False,6,3,3,Intra-Dorsal,9
tool,pIPS,left,89,PFC_7,Frontal,L,True,False,8,0,8,Intra-Dorsal,8
tool,pIPS,left,90,PFC_8,Frontal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,93,PFC_11,Frontal,L,True,False,16,0,16,Intra-Dorsal,16
tool,pIPS,left,100,PHC_1,Frontal,L,True,False,9,0,9,Intra-Dorsal,9
tool,pIPS,left,101,Vis_1,Occipital,R,False,True,30,0,30,Dorsal→Ventral,30
tool,pIPS,left,102,Vis_2,Occipital,R,False,True,19,0,19,Dorsal→Ventral,19
tool,pIPS,left,103,Vis_3,Occipital,R,False,True,26,0,26,Dorsal→Ventral,26
tool,pIPS,left,104,Vis_4,Occipital,R,False,True,9,0,9,Dorsal→Ventral,9
tool,pIPS,left,105,Vis_5,Occipital,R,False,True,3,1,2,Dorsal→Ventral,4
tool,pIPS,left,106,Vis_6,Occipital,R,False,True,11,31,-20,Ventral→Dorsal,42
tool,pIPS,left,107,Vis_7,Occipital,R,False,True,5,0,5,Dorsal→Ventral,5
tool,pIPS,left,108,Vis_8,Occipital,R,False,True,20,111,-91,Ventral→Dorsal,131
tool,pIPS,left,109,Vis_9,Occipital,R,False,True,0,24,-24,Ventral→Dorsal,24
tool,pIPS,left,110,Vis_10,Occipital,R,False,True,0,16,-16,Ventral→Dorsal,16
tool,pIPS,left,111,Vis_11,Occipital,R,False,True,3,17,-14,Ventral→Dorsal,20
tool,pIPS,left,112,Vis_12,Occipital,R,False,True,0,107,-107,Ventral→Dorsal,107
tool,pIPS,left,113,Vis_13,Occipital,R,False,True,2,7,-5,Ventral→Dorsal,9
tool,pIPS,left,114,Vis_14,Occipital,R,False,True,3,1,2,Dorsal→Ventral,4
tool,pIPS,left,124,SomMot_9,Somatomotor,R,True,False,15,0,15,Intra-Dorsal,15
tool,pIPS,left,127,SomMot_12,Somatomotor,R,True,False,0,17,-17,Intra-Dorsal,17
tool,pIPS,left,128,SomMot_13,Somatomotor,R,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,left,129,SomMot_14,Somatomotor,R,True,False,20,0,20,Intra-Dorsal,20
tool,pIPS,left,130,SomMot_15,Somatomotor,R,True,False,0,2,-2,Intra-Dorsal,2
tool,pIPS,left,131,SomMot_16,Somatomotor,R,True,False,41,0,41,Intra-Dorsal,41
tool,pIPS,left,133,SomMot_18,Somatomotor,R,True,False,20,0,20,Intra-Dorsal,20
tool,pIPS,left,134,SomMot_19,Somatomotor,R,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,left,135,Post_1,Parietal,R,True,False,49,2,47,Intra-Dorsal,51
tool,pIPS,left,136,Post_2,Parietal,R,True,False,5,0,5,Intra-Dorsal,5
tool,pIPS,left,137,Post_3,Parietal,R,True,False,0,6,-6,Intra-Dorsal,6
tool,pIPS,left,140,Post_6,Parietal,R,True,False,16,0,16,Intra-Dorsal,16
tool,pIPS,left,141,Post_7,Parietal,R,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,left,142,Post_8,Parietal,R,True,False,28,0,28,Intra-Dorsal,28
tool,pIPS,left,143,Post_9,Parietal,R,True,False,41,0,41,Intra-Dorsal,41
tool,pIPS,left,144,Post_10,Parietal,R,True,False,10,6,4,Intra-Dorsal,16
tool,pIPS,left,145,FEF_1,Parietal,R,True,False,13,0,13,Intra-Dorsal,13
tool,pIPS,left,146,FEF_2,Parietal,R,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,147,PrCv_1,Parietal,R,True,False,0,11,-11,Intra-Dorsal,11
tool,pIPS,left,151,PrC_1,Frontal,R,True,False,2,1,1,Intra-Dorsal,3
tool,pIPS,left,153,FrOperIns_2,Insular,R,False,False,8,1,7,Other,9
tool,pIPS,left,158,Med_3,Frontal,R,True,False,17,0,17,Intra-Dorsal,17
tool,pIPS,left,160,OFC_2,Frontal,R,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,left,161,OFC_3,Frontal,R,True,False,0,4,-4,Intra-Dorsal,4
tool,pIPS,left,162,TempPole_1,Temporal,R,False,True,0,192,-192,Ventral→Dorsal,192
tool,pIPS,left,163,TempPole_2,Temporal,R,False,True,0,147,-147,Ventral→Dorsal,147
tool,pIPS,left,164,TempPole_3,Temporal,R,False,True,2,124,-122,Ventral→Dorsal,126
tool,pIPS,left,167,Par_3,Parietal,R,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,168,Temp_1,Temporal,R,False,True,8,0,8,Dorsal→Ventral,8
tool,pIPS,left,170,PFCl_1,Frontal,R,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,171,PFCl_2,Frontal,R,True,False,197,0,197,Intra-Dorsal,197
tool,pIPS,left,172,PFCl_3,Frontal,R,True,False,196,0,196,Intra-Dorsal,196
tool,pIPS,left,173,PFCl_4,Frontal,R,True,False,20,0,20,Intra-Dorsal,20
tool,pIPS,left,174,PFCl_5,Frontal,R,True,False,338,0,338,Intra-Dorsal,338
tool,pIPS,left,175,PFCl_6,Frontal,R,True,False,19,0,19,Intra-Dorsal,19
tool,pIPS,left,176,PFCl_7,Frontal,R,True,False,33,0,33,Intra-Dorsal,33
tool,pIPS,left,177,pCun_1,Frontal,R,True,False,0,10,-10,Intra-Dorsal,10
tool,pIPS,left,180,PFCmp_1,Frontal,R,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,182,Par_1,Parietal,R,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,left,185,Temp_1,Temporal,R,False,True,0,231,-231,Ventral→Dorsal,231
tool,pIPS,left,186,Temp_2,Temporal,R,False,True,0,4,-4,Ventral→Dorsal,4
tool,pIPS,left,187,Temp_3,Temporal,R,False,True,0,6,-6,Ventral→Dorsal,6
tool,pIPS,left,191,PFCdPFCm_1,Frontal,R,True,False,0,4,-4,Intra-Dorsal,4
tool,pIPS,left,194,PFCdPFCm_4,Frontal,R,True,False,35,0,35,Intra-Dorsal,35
tool,pIPS,left,195,PFCdPFCm_5,Frontal,R,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,left,196,PFCdPFCm_6,Frontal,R,True,False,28,0,28,Intra-Dorsal,28
tool,pIPS,left,197,PFCdPFCm_7,Frontal,R,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,left,201,pIPS,Parietal,X,True,False,461,100,361,Intra-Dorsal,561
tool,pIPS,left,202,LO,Temporal,X,False,True,129,139,-10,Ventral→Dorsal,268
tool,pIPS,right,1,Vis_1,Occipital,L,False,True,72,0,72,Dorsal→Ventral,72
tool,pIPS,right,2,Vis_2,Occipital,L,False,True,15,1,14,Dorsal→Ventral,16
tool,pIPS,right,3,Vis_3,Occipital,L,False,True,4,0,4,Dorsal→Ventral,4
tool,pIPS,right,4,Vis_4,Occipital,L,False,True,1,0,1,Dorsal→Ventral,1
tool,pIPS,right,5,Vis_5,Occipital,L,False,True,0,193,-193,Ventral→Dorsal,193
tool,pIPS,right,6,Vis_6,Occipital,L,False,True,5,1,4,Dorsal→Ventral,6
tool,pIPS,right,7,Vis_7,Occipital,L,False,True,6,133,-127,Ventral→Dorsal,139
tool,pIPS,right,8,Vis_8,Occipital,L,False,True,4,0,4,Dorsal→Ventral,4
tool,pIPS,right,9,Vis_9,Occipital,L,False,True,0,93,-93,Ventral→Dorsal,93
tool,pIPS,right,10,Vis_10,Occipital,L,False,True,0,120,-120,Ventral→Dorsal,120
tool,pIPS,right,11,Vis_11,Occipital,L,False,True,4,10,-6,Ventral→Dorsal,14
tool,pIPS,right,12,Vis_12,Occipital,L,False,True,0,5,-5,Ventral→Dorsal,5
tool,pIPS,right,13,Vis_13,Occipital,L,False,True,4,37,-33,Ventral→Dorsal,41
tool,pIPS,right,14,Vis_14,Occipital,L,False,True,1,12,-11,Ventral→Dorsal,13
tool,pIPS,right,15,SomMot_1,Somatomotor,L,True,False,7,0,7,Intra-Dorsal,7
tool,pIPS,right,16,SomMot_2,Somatomotor,L,True,False,5,0,5,Intra-Dorsal,5
tool,pIPS,right,17,SomMot_3,Somatomotor,L,True,False,28,0,28,Intra-Dorsal,28
tool,pIPS,right,19,SomMot_5,Somatomotor,L,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,right,20,SomMot_6,Somatomotor,L,True,False,0,2,-2,Intra-Dorsal,2
tool,pIPS,right,21,SomMot_7,Somatomotor,L,True,False,0,6,-6,Intra-Dorsal,6
tool,pIPS,right,22,SomMot_8,Somatomotor,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,right,23,SomMot_9,Somatomotor,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,25,SomMot_11,Somatomotor,L,True,False,20,0,20,Intra-Dorsal,20
tool,pIPS,right,27,SomMot_13,Somatomotor,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,28,SomMot_14,Somatomotor,L,True,False,6,1,5,Intra-Dorsal,7
tool,pIPS,right,29,SomMot_15,Somatomotor,L,True,False,14,1,13,Intra-Dorsal,15
tool,pIPS,right,30,SomMot_16,Somatomotor,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,31,Post_1,Parietal,L,True,False,187,13,174,Intra-Dorsal,200
tool,pIPS,right,32,Post_2,Parietal,L,True,False,64,0,64,Intra-Dorsal,64
tool,pIPS,right,35,Post_5,Parietal,L,True,False,3,0,3,Intra-Dorsal,3
tool,pIPS,right,36,Post_6,Parietal,L,True,False,4,0,4,Intra-Dorsal,4
tool,pIPS,right,37,Post_7,Parietal,L,True,False,20,0,20,Intra-Dorsal,20
tool,pIPS,right,38,Post_8,Parietal,L,True,False,37,0,37,Intra-Dorsal,37
tool,pIPS,right,39,Post_9,Parietal,L,True,False,32,0,32,Intra-Dorsal,32
tool,pIPS,right,40,Post_10,Parietal,L,True,False,43,2,41,Intra-Dorsal,45
tool,pIPS,right,41,FEF_1,Parietal,L,True,False,17,0,17,Intra-Dorsal,17
tool,pIPS,right,43,PrCv_1,Parietal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,44,ParOper_1,Parietal,L,True,False,0,18,-18,Intra-Dorsal,18
tool,pIPS,right,45,ParOper_2,Parietal,L,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,right,47,FrOperIns_1,Insular,L,False,False,16,0,16,Other,16
tool,pIPS,right,51,PFCl_1,Frontal,L,True,False,63,0,63,Intra-Dorsal,63
tool,pIPS,right,54,Med_3,Frontal,L,True,False,28,5,23,Intra-Dorsal,33
tool,pIPS,right,55,OFC_1,Frontal,L,True,False,7,0,7,Intra-Dorsal,7
tool,pIPS,right,56,OFC_2,Frontal,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,right,57,TempPole_1,Temporal,L,False,True,0,166,-166,Ventral→Dorsal,166
tool,pIPS,right,58,TempPole_2,Temporal,L,False,True,6,53,-47,Ventral→Dorsal,59
tool,pIPS,right,59,TempPole_3,Temporal,L,False,True,0,69,-69,Ventral→Dorsal,69
tool,pIPS,right,60,TempPole_4,Temporal,L,False,True,0,2,-2,Ventral→Dorsal,2
tool,pIPS,right,62,Par_2,Parietal,L,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,64,Temp_1,Temporal,L,False,True,11,4,7,Dorsal→Ventral,15
tool,pIPS,right,65,OFC_1,Frontal,L,True,False,1,1,0,Intra-Dorsal,2
tool,pIPS,right,66,PFCl_1,Frontal,L,True,False,5,0,5,Intra-Dorsal,5
tool,pIPS,right,67,PFCl_2,Frontal,L,True,False,50,0,50,Intra-Dorsal,50
tool,pIPS,right,68,PFCl_3,Frontal,L,True,False,117,0,117,Intra-Dorsal,117
tool,pIPS,right,69,PFCl_4,Frontal,L,True,False,7,0,7,Intra-Dorsal,7
tool,pIPS,right,70,PFCl_5,Frontal,L,True,False,24,0,24,Intra-Dorsal,24
tool,pIPS,right,71,pCun_1,Frontal,L,True,False,0,19,-19,Intra-Dorsal,19
tool,pIPS,right,73,Cing_2,Cingulate,L,False,False,2,0,2,Other,2
tool,pIPS,right,74,Temp_1,Temporal,L,False,True,0,139,-139,Ventral→Dorsal,139
tool,pIPS,right,75,Temp_2,Temporal,L,False,True,9,0,9,Dorsal→Ventral,9
tool,pIPS,right,76,Temp_3,Temporal,L,False,True,0,24,-24,Ventral→Dorsal,24
tool,pIPS,right,77,Temp_4,Temporal,L,False,True,0,3,-3,Ventral→Dorsal,3
tool,pIPS,right,78,Temp_5,Temporal,L,False,True,0,3,-3,Ventral→Dorsal,3
tool,pIPS,right,79,Par_1,Parietal,L,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,right,80,Par_2,Parietal,L,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,right,83,PFC_1,Frontal,L,True,False,0,17,-17,Intra-Dorsal,17
tool,pIPS,right,84,PFC_2,Frontal,L,True,False,2,0,2,Intra-Dorsal,2
tool,pIPS,right,85,PFC_3,Frontal,L,True,False,0,4,-4,Intra-Dorsal,4
tool,pIPS,right,86,PFC_4,Frontal,L,True,False,4,69,-65,Intra-Dorsal,73
tool,pIPS,right,89,PFC_7,Frontal,L,True,False,10,0,10,Intra-Dorsal,10
tool,pIPS,right,91,PFC_9,Frontal,L,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,right,96,pCunPCC_1,Cingulate,L,False,False,1,2,-1,Other,3
tool,pIPS,right,97,pCunPCC_2,Cingulate,L,False,False,0,1,-1,Other,1
tool,pIPS,right,99,pCunPCC_4,Cingulate,L,False,False,0,2,-2,Other,2
tool,pIPS,right,100,PHC_1,Frontal,L,True,False,48,0,48,Intra-Dorsal,48
tool,pIPS,right,101,Vis_1,Occipital,R,False,True,101,2,99,Dorsal→Ventral,103
tool,pIPS,right,102,Vis_2,Occipital,R,False,True,43,0,43,Dorsal→Ventral,43
tool,pIPS,right,103,Vis_3,Occipital,R,False,True,153,3,150,Dorsal→Ventral,156
tool,pIPS,right,104,Vis_4,Occipital,R,False,True,13,0,13,Dorsal→Ventral,13
tool,pIPS,right,106,Vis_6,Occipital,R,False,True,20,33,-13,Ventral→Dorsal,53
tool,pIPS,right,107,Vis_7,Occipital,R,False,True,1,0,1,Dorsal→Ventral,1
tool,pIPS,right,108,Vis_8,Occipital,R,False,True,23,56,-33,Ventral→Dorsal,79
tool,pIPS,right,109,Vis_9,Occipital,R,False,True,0,9,-9,Ventral→Dorsal,9
tool,pIPS,right,110,Vis_10,Occipital,R,False,True,0,13,-13,Ventral→Dorsal,13
tool,pIPS,right,111,Vis_11,Occipital,R,False,True,14,15,-1,Ventral→Dorsal,29
tool,pIPS,right,112,Vis_12,Occipital,R,False,True,7,156,-149,Ventral→Dorsal,163
tool,pIPS,right,113,Vis_13,Occipital,R,False,True,0,1,-1,Ventral→Dorsal,1
tool,pIPS,right,114,Vis_14,Occipital,R,False,True,1,1,0,Ventral→Dorsal,2
tool,pIPS,right,116,SomMot_1,Somatomotor,R,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,117,SomMot_2,Somatomotor,R,True,False,0,4,-4,Intra-Dorsal,4
tool,pIPS,right,120,SomMot_5,Somatomotor,R,True,False,0,2,-2,Intra-Dorsal,2
tool,pIPS,right,122,SomMot_7,Somatomotor,R,True,False,0,33,-33,Intra-Dorsal,33
tool,pIPS,right,124,SomMot_9,Somatomotor,R,True,False,32,0,32,Intra-Dorsal,32
tool,pIPS,right,125,SomMot_10,Somatomotor,R,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,right,127,SomMot_12,Somatomotor,R,True,False,1,15,-14,Intra-Dorsal,16
tool,pIPS,right,129,SomMot_14,Somatomotor,R,True,False,28,11,17,Intra-Dorsal,39
tool,pIPS,right,131,SomMot_16,Somatomotor,R,True,False,16,0,16,Intra-Dorsal,16
tool,pIPS,right,132,SomMot_17,Somatomotor,R,True,False,8,0,8,Intra-Dorsal,8
tool,pIPS,right,133,SomMot_18,Somatomotor,R,True,False,77,0,77,Intra-Dorsal,77
tool,pIPS,right,134,SomMot_19,Somatomotor,R,True,False,8,2,6,Intra-Dorsal,10
tool,pIPS,right,135,Post_1,Parietal,R,True,False,190,5,185,Intra-Dorsal,195
tool,pIPS,right,136,Post_2,Parietal,R,True,False,7,26,-19,Intra-Dorsal,33
tool,pIPS,right,137,Post_3,Parietal,R,True,False,0,8,-8,Intra-Dorsal,8
tool,pIPS,right,138,Post_4,Parietal,R,True,False,2,3,-1,Intra-Dorsal,5
tool,pIPS,right,139,Post_5,Parietal,R,True,False,5,0,5,Intra-Dorsal,5
tool,pIPS,right,140,Post_6,Parietal,R,True,False,28,0,28,Intra-Dorsal,28
tool,pIPS,right,141,Post_7,Parietal,R,True,False,9,0,9,Intra-Dorsal,9
tool,pIPS,right,142,Post_8,Parietal,R,True,False,48,0,48,Intra-Dorsal,48
tool,pIPS,right,143,Post_9,Parietal,R,True,False,74,0,74,Intra-Dorsal,74
tool,pIPS,right,144,Post_10,Parietal,R,True,False,12,0,12,Intra-Dorsal,12
tool,pIPS,right,145,FEF_1,Parietal,R,True,False,42,0,42,Intra-Dorsal,42
tool,pIPS,right,147,PrCv_1,Parietal,R,True,False,11,11,0,Intra-Dorsal,22
tool,pIPS,right,148,TempOccPar_1,Temporal,R,False,True,0,1,-1,Ventral→Dorsal,1
tool,pIPS,right,150,TempOccPar_3,Temporal,R,False,True,0,3,-3,Ventral→Dorsal,3
tool,pIPS,right,151,PrC_1,Frontal,R,True,False,1,6,-5,Intra-Dorsal,7
tool,pIPS,right,152,FrOperIns_1,Insular,R,False,False,0,2,-2,Other,2
tool,pIPS,right,153,FrOperIns_2,Insular,R,False,False,9,0,9,Other,9
tool,pIPS,right,158,Med_3,Frontal,R,True,False,33,0,33,Intra-Dorsal,33
tool,pIPS,right,159,OFC_1,Frontal,R,True,False,8,0,8,Intra-Dorsal,8
tool,pIPS,right,161,OFC_3,Frontal,R,True,False,0,48,-48,Intra-Dorsal,48
tool,pIPS,right,162,TempPole_1,Temporal,R,False,True,0,162,-162,Ventral→Dorsal,162
tool,pIPS,right,163,TempPole_2,Temporal,R,False,True,0,161,-161,Ventral→Dorsal,161
tool,pIPS,right,164,TempPole_3,Temporal,R,False,True,1,116,-115,Ventral→Dorsal,117
tool,pIPS,right,165,Par_1,Parietal,R,True,False,0,1,-1,Intra-Dorsal,1
tool,pIPS,right,166,Par_2,Parietal,R,True,False,0,5,-5,Intra-Dorsal,5
tool,pIPS,right,167,Par_3,Parietal,R,True,False,0,4,-4,Intra-Dorsal,4
tool,pIPS,right,168,Temp_1,Temporal,R,False,True,13,0,13,Dorsal→Ventral,13
tool,pIPS,right,170,PFCl_1,Frontal,R,True,False,17,1,16,Intra-Dorsal,18
tool,pIPS,right,171,PFCl_2,Frontal,R,True,False,78,0,78,Intra-Dorsal,78
tool,pIPS,right,172,PFCl_3,Frontal,R,True,False,211,0,211,Intra-Dorsal,211
tool,pIPS,right,173,PFCl_4,Frontal,R,True,False,5,0,5,Intra-Dorsal,5
tool,pIPS,right,174,PFCl_5,Frontal,R,True,False,233,0,233,Intra-Dorsal,233
tool,pIPS,right,175,PFCl_6,Frontal,R,True,False,1,1,0,Intra-Dorsal,2
tool,pIPS,right,176,PFCl_7,Frontal,R,True,False,49,0,49,Intra-Dorsal,49
tool,pIPS,right,179,Cing_2,Cingulate,R,False,False,10,0,10,Other,10
tool,pIPS,right,182,Par_1,Parietal,R,True,False,0,8,-8,Intra-Dorsal,8
tool,pIPS,right,183,Par_2,Parietal,R,True,False,0,9,-9,Intra-Dorsal,9
tool,pIPS,right,184,Par_3,Parietal,R,True,False,0,3,-3,Intra-Dorsal,3
tool,pIPS,right,185,Temp_1,Temporal,R,False,True,0,250,-250,Ventral→Dorsal,250
tool,pIPS,right,186,Temp_2,Temporal,R,False,True,1,9,-8,Ventral→Dorsal,10
tool,pIPS,right,187,Temp_3,Temporal,R,False,True,0,2,-2,Ventral→Dorsal,2
tool,pIPS,right,190,PFCv_1,Frontal,R,True,False,0,7,-7,Intra-Dorsal,7
tool,pIPS,right,191,PFCdPFCm_1,Frontal,R,True,False,0,8,-8,Intra-Dorsal,8
tool,pIPS,right,194,PFCdPFCm_4,Frontal,R,True,False,1,0,1,Intra-Dorsal,1
tool,pIPS,right,198,pCunPCC_1,Cingulate,R,False,False,3,0,3,Other,3
tool,pIPS,right,201,pIPS,Parietal,X,True,False,888,47,841,Intra-Dorsal,935
tool,pIPS,right,202,LO,Temporal,X,False,True,322,57,265,Dorsal→Ventral,379
tool,LO,left,1,Vis_1,Occipital,L,False,True,52,0,52,Intra-Ventral,52
tool,LO,left,2,Vis_2,Occipital,L,False,True,144,100,44,Intra-Ventral,244
tool,LO,left,3,Vis_3,Occipital,L,False,True,61,0,61,Intra-Ventral,61
tool,LO,left,4,Vis_4,Occipital,L,False,True,0,144,-144,Intra-Ventral,144
tool,LO,left,5,Vis_5,Occipital,L,False,True,93,27,66,Intra-Ventral,120
tool,LO,left,7,Vis_7,Occipital,L,False,True,0,281,-281,Intra-Ventral,281
tool,LO,left,8,Vis_8,Occipital,L,False,True,55,3,52,Intra-Ventral,58
